dynamic_uniform!,"Mutable\nLento"
implement_vertex!,"Implementa vertex::Vertex"
program!,"Construye un programa controlado en versiones"
uniform!,"Pasa variables globables al shader"




Función Llamada (Front),Uso / Importancia (Back)
"Camera::new(dimensions, &ctx)","Inicializa la cámara matemática y crea de forma persistente su UniformBuffer asociado en la GPU mapeando el contexto gráfico."
"DrawParameters { .. }","Define el estado fijo del pipeline de OpenGL (Depth testing habilitado con IfLess y configuración de mezcla Alpha Blending para transparencias)."
"FxHashMap::default()","Instancia los mapas de hashing usando la función rápida FxHash. Ideal para motores de juegos porque prioriza velocidad sobre seguridad contra ataques DoS."
"format!()","Macro en tiempo de ejecución para construir rutas dinámicas a archivos de assets (shaders y modelos) concatenando strings."
"self.get_model_cache(&path)","Busca si la geometría de un modelo ya fue procesada; si no existe en el mapa de hashing invoca la carga y subida a la GPU."
"self.get_shader(shader)","Resuelve el programa de sombreadores para una malla consultando la caché o compilando los archivos fuente si es la primera vez que se solicita."
"self.models.push(Model { .. })","Registra una nueva instancia de objeto en la escena vinculando su transformación espacial única con punteros compartidos (Rc) a su geometría y shader."
"self.shader_cache.contains_key(&shader)","Chequea la existencia de una clave en el mapa de hashing para evitar compilar el mismo archivo de shader múltiples veces."
"self.cache_shader(&shader).unwrap()","Invoca la lectura física y compilación del par de shaders. Utiliza unwrap asumiendo que un fallo en la carga de assets base debe abortar la ejecución."
"Rc::clone(..)","Incrementa el contador de referencias de un recurso administrado (Shader Model o Texture) sin duplicar los datos en memoria RAM ni en VRAM."
"Aabb::from_positions(..)","Calcula los límites espaciales (Axis-Aligned Bounding Box) del mesh recorriendo los vértices para determinar el volumen mínimo que lo encierra."
"VertexBuffer::new(&self.ctx, &vertices)","Asigna memoria estática en la VRAM de la GPU y transfiere el array de estructuras de vértices crudos de la CPU a la placa de video."
"IndexBuffer::new(&self.ctx, ..)","Crea el buffer de índices en la GPU especificando la topología (TrianglesList) para definir cómo se conectan los vértices para formar los triángulos."
"self.model_cache.insert(..)","Registra la estructura geométrica subida a la GPU en la caché global usando la ruta del archivo como clave identificadora."
"self.models.get_mut(id)","Busca una referencia mutable de un modelo específico mediante su índice numérico dentro del vector para aplicar transformaciones directas."
"model.set_position(x, y, z)","Actualiza los datos de traslación del componente Transform del modelo específico (afectará a su matriz local en el siguiente frame)."
"ModelCache::load(path, &self.ctx, &default_tex)","Función de bajo nivel que lee el archivo de disco (ej. via Assimp o formato propio) parsea geometría texturas y arma la estructura inicial."
"self.cache_texture(&name)","Carga una imagen de textura desde el disco a la RAM del sistema la decodifica y la sube a la VRAM mediante la estructura Texture."
"read_to_string(..)","Operación de entrada/salida (I/O) síncrona que lee el código fuente crudo en formato GLSL de los archivos .vert y .frag desde el disco duro."
"Program::from_source(&self.ctx, &vert, &frag, None)","Envía el código fuente GLSL al driver de OpenGL para su compilación y posterior linkeo en un programa binario ejecutable por los núcleos de la GPU."
"Texture::from(path, &self.ctx)","Crea el objeto de textura nativo de OpenGL en VRAM definiendo dimensiones formatos de color y subiendo los bytes de los píxeles."
"self.models.is_empty()","Optimización temprana en el bucle de renderizado; si no hay entidades registradas en el Stage aborta el proceso de dibujo inmediatamente."
"model.draw(frame, &self.cam, &self.draw_params)","Ejecuta la lógica interna de dibujo por objeto (realiza frustum culling vincula el UniformBuffer de la cámara bindea texturas y emite el draw call)."
